Region,Date,Min_Temperature,Max_Temperature,Avg_Temperature
北部,2026-04-28,20.0,31.0,25.5
北部,2026-04-29,21.0,29.0,25.0
北部,2026-04-30,19.0,22.0,20.5
北部,2026-05-01,19.0,26.0,22.5
北部,2026-05-02,20.0,29.0,24.5
北部,2026-05-03,22.0,31.0,26.5
北部,2026-05-04,23.0,30.0,26.5
中部,2026-04-28,21.0,33.0,27.0
中部,2026-04-29,22.0,32.0,27.0
中部,2026-04-30,20.0,26.0,23.0
中部,2026-05-01,20.0,29.0,24.5
中部,2026-05-02,22.0,31.0,26.5
中部,2026-05-03,22.0,32.0,27.0
中部,2026-05-04,23.0,31.0,27.0
南部,2026-04-28,23.0,33.0,28.0
南部,2026-04-29,24.0,32.0,28.0
南部,2026-04-30,22.0,30.0,26.0
南部,2026-05-01,22.0,31.0,26.5
南部,2026-05-02,23.0,32.0,27.5
南部,2026-05-03,24.0,32.0,28.0
南部,2026-05-04,25.0,33.0,29.0
東北部,2026-04-28,21.0,28.0,24.5
東北部,2026-04-29,22.0,28.0,25.0
東北部,2026-04-30,20.0,22.0,21.0
東北部,2026-05-01,19.0,24.0,21.5
東北部,2026-05-02,20.0,29.0,24.5
東北部,2026-05-03,22.0,30.0,26.0
東北部,2026-05-04,23.0,29.0,26.0
東部,2026-04-28,22.0,28.0,25.0
東部,2026-04-29,22.0,29.0,25.5
東部,2026-04-30,21.0,24.0,22.5
東部,2026-05-01,21.0,24.0,22.5
東部,2026-05-02,21.0,27.0,24.0
東部,2026-05-03,23.0,29.0,26.0
東部,2026-05-04,24.0,29.0,26.5
東南部,2026-04-28,23.0,29.0,26.0
東南部,2026-04-29,23.0,31.0,27.0
東南部,2026-04-30,23.0,27.0,25.0
東南部,2026-05-01,22.0,27.0,24.5
東南部,2026-05-02,22.0,29.0,25.5
東南部,2026-05-03,23.0,32.0,27.5
東南部,2026-05-04,24.0,30.0,27.0
